#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.177741388114 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3679000000     -5.17447901      0.9722459675E+00
  -0.3678000000     -5.17175787      0.9730903432E+00
  -0.3677000000     -5.16903673      0.9739447350E+00
  -0.3676000000     -5.16631559      0.9748085654E+00
  -0.3675000000     -5.16359446      0.9756812482E+00
  -0.3674000000     -5.16087332      0.9765621890E+00
  -0.3673000000     -5.15815218      0.9774507868E+00
  -0.3672000000     -5.15543104      0.9783464338E+00
  -0.3671000000     -5.15270990      0.9792485173E+00
  -0.3670000000     -5.14998876      0.9801564201E+00
  -0.3669000000     -5.14726762      0.9810695218E+00
  -0.3668000000     -5.14454649      0.9819872001E+00
  -0.3667000000     -5.14182535      0.9829088318E+00
  -0.3666000000     -5.13910421      0.9838337946E+00
  -0.3665000000     -5.13638307      0.9847614684E+00
  -0.3664000000     -5.13366193      0.9856912372E+00
  -0.3663000000     -5.13094079      0.9866224906E+00
  -0.3662000000     -5.12821966      0.9875546260E+00
  -0.3661000000     -5.12549852      0.9884870507E+00
  -0.3660000000     -5.12277738      0.9894191845E+00
  -0.3659000000     -5.12005624      0.9903504619E+00
  -0.3658000000     -5.11733510      0.9912803353E+00
  -0.3657000000     -5.11461396      0.9922082777E+00
  -0.3656000000     -5.11189283      0.9931337866E+00
  -0.3655000000     -5.10917169      0.9940563872E+00
  -0.3654000000     -5.10645055      0.9949756366E+00
  -0.3653000000     -5.10372941      0.9958911285E+00
  -0.3652000000     -5.10100827      0.9968024976E+00
  -0.3651000000     -5.09828713      0.9977094255E+00
  -0.3650000000     -5.09556600      0.9986116463E+00
  -0.3649000000     -5.09284486      0.9995089528E+00
  -0.3648000000     -5.09012372      0.1000401204E+01
  -0.3647000000     -5.08740258      0.1001288334E+01
  -0.3646000000     -5.08468144      0.1002170357E+01
  -0.3645000000     -5.08196030      0.1003047382E+01
  -0.3644000000     -5.07923916      0.1003919621E+01
  -0.3643000000     -5.07651803      0.1004787397E+01
  -0.3642000000     -5.07379689      0.1005651166E+01
  -0.3641000000     -5.07107575      0.1006511520E+01
  -0.3640000000     -5.06835461      0.1007369214E+01
  -0.3639000000     -5.06563347      0.1008225175E+01
  -0.3638000000     -5.06291233      0.1009080528E+01
  -0.3637000000     -5.06019120      0.1009936612E+01
  -0.3636000000     -5.05747006      0.1010795010E+01
  -0.3635000000     -5.05474892      0.1011657571E+01
  -0.3634000000     -5.05202778      0.1012526445E+01
  -0.3633000000     -5.04930664      0.1013404112E+01
  -0.3632000000     -5.04658550      0.1014293422E+01
  -0.3631000000     -5.04386437      0.1015197635E+01
  -0.3630000000     -5.04114323      0.1016120471E+01
  -0.3629000000     -5.03842209      0.1017066156E+01
  -0.3628000000     -5.03570095      0.1018039487E+01
  -0.3627000000     -5.03297981      0.1019045888E+01
  -0.3626000000     -5.03025867      0.1020091490E+01
  -0.3625000000     -5.02753754      0.1021183206E+01
  -0.3624000000     -5.02481640      0.1022328821E+01
  -0.3623000000     -5.02209526      0.1023537090E+01
  -0.3622000000     -5.01937412      0.1024817853E+01
  -0.3621000000     -5.01665298      0.1026182150E+01
  -0.3620000000     -5.01393184      0.1027642357E+01
  -0.3619000000     -5.01121070      0.1029212339E+01
  -0.3618000000     -5.00848957      0.1030907605E+01
  -0.3617000000     -5.00576843      0.1032745493E+01
  -0.3616000000     -5.00304729      0.1034745355E+01
  -0.3615000000     -5.00032615      0.1036928772E+01
  -0.3614000000     -4.99760501      0.1039319771E+01
  -0.3613000000     -4.99488387      0.1041945059E+01
  -0.3612000000     -4.99216274      0.1044834267E+01
  -0.3611000000     -4.98944160      0.1048020195E+01
  -0.3610000000     -4.98672046      0.1051539053E+01
  -0.3609000000     -4.98399932      0.1055430692E+01
  -0.3608000000     -4.98127818      0.1059738800E+01
  -0.3607000000     -4.97855704      0.1064511057E+01
  -0.3606000000     -4.97583591      0.1069799213E+01
  -0.3605000000     -4.97311477      0.1075659059E+01
  -0.3604000000     -4.97039363      0.1082150261E+01
  -0.3603000000     -4.96767249      0.1089335985E+01
  -0.3602000000     -4.96495135      0.1097282285E+01
