#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.172517414142 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3595000000     -5.08805495      0.1002784083E+01
  -0.3594000000     -5.08533381      0.1004218394E+01
  -0.3593000000     -5.08261267      0.1005670065E+01
  -0.3592000000     -5.07989153      0.1007139937E+01
  -0.3591000000     -5.07717039      0.1008628848E+01
  -0.3590000000     -5.07444925      0.1010137624E+01
  -0.3589000000     -5.07172811      0.1011667070E+01
  -0.3588000000     -5.06900698      0.1013217967E+01
  -0.3587000000     -5.06628584      0.1014791060E+01
  -0.3586000000     -5.06356470      0.1016387051E+01
  -0.3585000000     -5.06084356      0.1018006588E+01
  -0.3584000000     -5.05812242      0.1019650256E+01
  -0.3583000000     -5.05540128      0.1021318566E+01
  -0.3582000000     -5.05268015      0.1023011942E+01
  -0.3581000000     -5.04995901      0.1024730713E+01
  -0.3580000000     -5.04723787      0.1026475095E+01
  -0.3579000000     -5.04451673      0.1028245183E+01
  -0.3578000000     -5.04179559      0.1030040935E+01
  -0.3577000000     -5.03907445      0.1031862161E+01
  -0.3576000000     -5.03635332      0.1033708507E+01
  -0.3575000000     -5.03363218      0.1035579445E+01
  -0.3574000000     -5.03091104      0.1037474255E+01
  -0.3573000000     -5.02818990      0.1039392017E+01
  -0.3572000000     -5.02546876      0.1041331599E+01
  -0.3571000000     -5.02274762      0.1043291642E+01
  -0.3570000000     -5.02002649      0.1045270552E+01
  -0.3569000000     -5.01730535      0.1047266494E+01
  -0.3568000000     -5.01458421      0.1049277383E+01
  -0.3567000000     -5.01186307      0.1051300877E+01
  -0.3566000000     -5.00914193      0.1053334377E+01
  -0.3565000000     -5.00642079      0.1055375029E+01
  -0.3564000000     -5.00369965      0.1057419721E+01
  -0.3563000000     -5.00097852      0.1059465092E+01
  -0.3562000000     -4.99825738      0.1061507542E+01
  -0.3561000000     -4.99553624      0.1063543242E+01
  -0.3560000000     -4.99281510      0.1065568152E+01
  -0.3559000000     -4.99009396      0.1067578040E+01
  -0.3558000000     -4.98737282      0.1069568503E+01
  -0.3557000000     -4.98465169      0.1071534999E+01
  -0.3556000000     -4.98193055      0.1073472873E+01
  -0.3555000000     -4.97920941      0.1075377394E+01
  -0.3554000000     -4.97648827      0.1077243789E+01
  -0.3553000000     -4.97376713      0.1079067286E+01
  -0.3552000000     -4.97104599      0.1080843153E+01
  -0.3551000000     -4.96832486      0.1082566744E+01
  -0.3550000000     -4.96560372      0.1084233540E+01
  -0.3549000000     -4.96288258      0.1085839198E+01
